ticker,LCHD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-10-17,96.0784
2019-10-18,0.0
2019-10-24,10.0
2019-10-25,36.3636
2019-10-30,6.6667
2019-11-01,-3.125
2019-11-05,-34.8387
2019-11-08,48.5149
2019-12-16,-33.3333
2019-12-19,0.0
2020-03-13,0.0
2020-03-17,20.0
2020-03-23,-57.5
2020-03-24,-21.5686
2020-03-25,-87.5
2020-05-15,1100.0
2020-05-18,16.6667
2020-05-19,14.2857
2020-05-20,18.75
2020-05-26,5.2632
2020-06-24,0.0
2020-06-29,0.0
2020-07-13,20.0
2020-07-14,0.0
2020-07-16,4.1667
2020-07-20,-90.4
2020-07-24,733.3333
